Delay_s,ScheduleStartMission_s,FirstBurnMission_s,EntryMission_s,Miss_m,Status,EndpointLatitude_deg,EndpointLongitude_deg
18000,61676.7317058438,61676.7317058438,63848.0227589617,16459389.1744146,SCREEN_ONLY,-52.0509795852892,-89.6824779513232
18600,62276.7317058438,62276.7317058438,64427.5350202587,14559838.8002704,SCREEN_ONLY,-84.1336680827946,-90.9061147424991
19200,62876.7317058438,62876.7317058438,65017.7489140629,11481487.0579104,SCREEN_ONLY,-59.7157206353278,85.4348827593259
19800,63476.7317058438,63476.7317058438,65633.0344288618,7797434.22290859,SCREEN_ONLY,-17.1763151330327,82.8055396754996
20400,64076.7317058438,64076.7317058438,66251.5120629363,4886011.0531834,SCREEN_ONLY,25.8998524534647,80.0897574813685
21000,64676.7317058438,64676.7317058438,66843.9469106858,4532134.78497864,SCREEN_ONLY,60.6334103765638,77.9306684640889
21600,65276.7317058438,65276.7317058438,67423.497420442,6154494.9151278,SCREEN_ONLY,86.8084051059524,-106.415049784705
22200,65876.7317058438,65876.7317058438,68020.2363462003,8960688.1360553,SCREEN_ONLY,48.9152303688918,-107.081084127868
22800,66476.7317058438,66476.7317058438,68639.4869709651,12244643.5096785,SCREEN_ONLY,5.25711549940356,-109.812796401935
23400,67076.7317058438,67076.7317058438,69252.0517839313,14494999.0395366,SCREEN_ONLY,-35.9655547369983,-112.412145490463
24000,67676.7317058438,67676.7317058438,69837.7150638504,14765844.4613956,SCREEN_ONLY,-69.0211889399058,-114.408551391608
24600,68276.7317058438,68276.7317058438,70419.323896342,13468660.980886,SCREEN_ONLY,-77.4393621009307,62.5689201753067
25200,68876.7317058438,68876.7317058438,71023.3014820468,10967737.0412346,SCREEN_ONLY,-37.7515508578599,60.3610717769849
25800,69476.7317058438,69476.7317058438,71644.9827563506,8065678.20672073,SCREEN_ONLY,6.45043329562779,57.5817300775118
26400,70076.7317058438,70076.7317058438,72250.9409453271,6182669.9549074,SCREEN_ONLY,45.3415389155267,55.1321628119654
27000,70676.7317058438,70676.7317058438,72832.5147878995,5758305.95541923,SCREEN_ONLY,77.5668187610916,53.3619543382318
27600,71276.7317058438,71276.7317058438,73418.4156837475,6698699.1925627,SCREEN_ONLY,67.5003888110094,-129.730091821889
28200,71876.7317058438,71876.7317058438,74028.9224230606,8925551.66295514,SCREEN_ONLY,26.1166431155241,-132.23461085462
28800,72476.7317058438,72476.7317058438,74649.3465118016,11574341.2635382,SCREEN_ONLY,-17.7563035385457,-134.998879151403
29400,73076.7317058438,73076.7317058438,75247.0222743169,13360354.8323051,SCREEN_ONLY,-54.1324556908384,-137.279951441107
30000,73676.7317058438,73676.7317058438,75826.2778317137,14083456.2827251,SCREEN_ONLY,-86.2656717301916,-137.905192611115
30600,74276.7317058438,74276.7317058438,76418.0148103588,13508485.0221528,SCREEN_ONLY,-57.173038272263,37.8155020299107
31200,74876.7317058438,74876.7317058438,77034.5372216989,11430990.7852519,SCREEN_ONLY,-14.3145812201248,35.1557573848538
31800,75476.7317058438,75476.7317058438,77651.92382769,8838573.06608378,SCREEN_ONLY,28.3933988534494,32.4628956393239
32400,76076.7317058438,76076.7317058438,78242.6745639861,6946314.12553766,SCREEN_ONLY,62.6642895287876,30.3421713557335
33000,76676.7317058438,76676.7317058438,78822.5341550379,5832949.63576767,SCREEN_ONLY,84.5824910361775,-153.222171514634
33600,77276.7317058438,77276.7317058438,79420.9475297084,6106869.86268659,SCREEN_ONLY,46.2584678955199,-154.713828252068
34200,77876.7317058438,77876.7317058438,80040.9044674564,8257117.3693057,SCREEN_ONLY,2.41119151827037,-157.461806860118
34800,78476.7317058438,78476.7317058438,80651.8795890647,10960984.6047483,SCREEN_ONLY,-38.2768210636197,-160.027168026114
35400,79076.7317058438,79076.7317058438,81236.288146674,13087496.896014,SCREEN_ONLY,-71.0522842980317,-161.981106835883
36000,79676.7317058438,79676.7317058438,81818.757109108,14647845.3642245,SCREEN_ONLY,-75.1045737042154,15.0241431227646
36600,80276.7317058438,80276.7317058438,82424.4337349635,14515480.7059919,SCREEN_ONLY,-34.99234452013,12.719291187485
37200,80876.7317058438,80876.7317058438,83046.1961952285,12016812.0365783,SCREEN_ONLY,9.21899893016591,9.93751495135009
